tag_id,canonical_name,namespace,evidence_type,allowed_inputs,relation_count
env.v1_111.proportion,Proportion,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_112.fractal_dimension,Fractal dimension,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_113.self_similarity_scale_range,Self-similarity scale range,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_114.visual_entropy,Visual entropy,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_115.edge_density,Edge density,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_116.color_diversity,Color diversity,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_117.element_count,Element count,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_118.visual_noise,Visual noise,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_119.pattern_regularity,Pattern regularity,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_120.figure_ground_clarity,Figure-ground clarity,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_121.visual_hierarchy,Visual hierarchy,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_122.vegetation_density,Vegetation density,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_123.vegetation_diversity,Vegetation diversity,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_124.water_features,Water features,env,computed,computed,2
env.v1_125.sky_visibility,Sky visibility,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_126.natural_landforms,Natural landforms,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_127.view_distance_layers,View distance layers,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_128.nature_vs_urban_view,Nature vs. urban view,env,computed,computed;image_2d;image_3d,0
env.v1_129.natural_material_proportion,Natural material proportion,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_130.biomimetic_forms,Biomimetic forms,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_131.natural_light_patterns,Natural light patterns,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_132.spatial_density,Spatial density,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_133.social_density,Social density,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_134.perceived_crowding,Perceived crowding,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_135.visual_privacy,Visual privacy,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_136.acoustic_privacy,Acoustic privacy,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_137.territorial_definition,Territorial definition,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_138.seating_arrangement,Seating arrangement,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_139.collaboration_space_ratio,Collaboration space ratio,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_140.temperature_control,Temperature control,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_141.lighting_control,Lighting control,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_142.acoustic_control,Acoustic control,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_143.window_operation,Window operation,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_144.workspace_personalization,Workspace personalization,env,sensor,computed;image_2d;image_3d;sensor,0
env.v1_145.perceived_control,Perceived control,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_001.color_palette_hue_saturation_lightness_harmony_beyond_cct,Color palette hue/saturation/lightness harmony (beyond CCT),env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_002.warm_vs_cool_white_appearance_cct_and_perceived_coziness_activation_cajochen_et,"Warm vs cool white appearance (CCT) and perceived coziness/activation (Cajochen et al., 2005",env,computed,computed;image_2d;image_3d,0
env.v2a_003.brightness_level_at_eye_vertical_illuminance_vs_task_plane,Brightness level at eye (vertical illuminance) vs task plane,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_004.brightness_gradients_and_brightness_contrast_ratios,Brightness gradients and brightness contrast ratios,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_005.daylight_presence_sky_view_and_view_to_outside_content,"Daylight presence, sky view, and view-to-outside content",env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_006.glare_source_count,Glare source count,env,sensor,computed;image_2d;image_3d;metadata;sensor,0
env.v2a_007.flicker_temporal_modulation_risk_cues_led_drivers,Flicker/temporal modulation risk cues (LED drivers,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_008.color_rendering_saturation_rendering,Color rendering / saturation rendering,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_009.shadow_softness_hardness,Shadow softness/hardness,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_010.lighting_control_cues_dimmers_blinds_task_lights,"Lighting control cues: dimmers, blinds, task lights",env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_011.evening_like_ambience_cues_vs_daytime_like_ambience_cues,Evening-like ambience cues vs daytime-like ambience cues,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_012.visual_privacy_via_lighting_backlit_silhouettes_vs_evenly_lit_faces,Visual privacy via lighting: backlit silhouettes vs evenly lit faces,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_013.high_contrast_spotlight_social_exposure_cues,High contrast ‘spotlight’ social exposure cues,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_014.presence_of_natural_light_patterns,Presence of natural light patterns,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_015.lighting_temperature_mismatch,Lighting ‘temperature mismatch’,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_067.ceiling_height_and_openness_processing_style,Ceiling height and openness (processing style,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_068.room_scale_cues,Room scale cues,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_069.enclosure_ratio_wall_to_window_balance,Enclosure ratio: wall-to-window balance,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_070.prospect_refuge_ability_to_see_without_being_seen,Prospect–refuge: ability to see without being seen,env,computed,computed;image_2d;image_3d,4
env.v2a_071.exit_visibility_and_path_to_exit_complexity,Exit visibility and path-to-exit complexity,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_072.blind_corners_vs_transparent_partitions,Blind corners vs transparent partitions,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_073.distance_to_others,Distance to others,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_074.wayfinding_legibility_straight_sightlines,Wayfinding legibility: straight sightlines,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_075.spatial_complexity_branching_corridors_vs_simple_loops,Spatial complexity: branching corridors vs simple loops,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_076.perceived_territoriality_defined_zones_vs_ambiguous_shared_space,Perceived territoriality: defined zones vs ambiguous shared space.,env,computed,computed;image_2d;image_3d,0
env.v2a_077.barrier_permeability_half_walls_vs_full_walls,Barrier permeability: half-walls vs full walls,env,sensor,computed;image_2d;image_3d;sensor,0
env.v2a_078.visual_access_to_outdoors_nature_as_escape_affordance,Visual access to outdoors/nature as ‘escape’ affordance.,env,computed,computed;image_2d;image_3d,0
